Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
Asian Television Network International Limited (TSXV:SAT),2005.00,16.00,0.00,6.23,1.73,3.54,1.66,1.86,4.81,2.06,1.27,1.75,0.57,2.91,-0.20,0.90,2.29,2.12,19.00
JanOne Inc. (NasdaqCM:JAN),2005.00,16.00,0.00,74.90,22.50,-0.93,0.42,17.70,24.50,13.90,-2.15,21.60,-0.01,9.12,3.80,1.27,-4.24,10.80,19.00
Jewett-Cameron Trading Company Ltd. (NasdaqCM:JCTC.F),2005.00,16.00,0.00,74.70,9.66,1.31,2.37,13.80,16.40,4.21,3.24,1.48,0.02,3.51,9.59,3.28,1.08,10.80,19.10
Chicago Rivet & Machine Co. (AMEX:CVR),2005.00,16.00,0.00,39.80,5.70,-0.40,1.00,17.90,27.90,3.03,0.69,0.00,-0.01,0.00,14.87,5.91,0.00,29.80,19.10
Yangarra Resources Ltd. (TSX:YGR),2005.00,16.00,0.00,5.97,4.75,-0.23,3.46,2.48,39.10,12.90,3.20,2.32,-0.04,8.03,-10.42,0.19,2.51,,19.10
"SPAR Group, Inc. (NasdaqCM:SGRP)",2005.00,16.00,0.00,51.60,19.60,0.88,2.44,13.30,15.40,10.20,3.43,0.43,0.02,1.05,3.10,1.30,0.31,19.80,19.30
"Sevcon, Inc.",2005.00,16.00,0.00,32.00,12.20,0.78,1.86,11.60,16.00,5.45,1.68,0.00,0.02,0.00,6.15,2.13,0.00,21.30,19.30
Global Axcess Corp.,2005.00,8.00,1.00,19.50,8.00,-0.72,2.75,5.08,31.60,6.05,1.53,3.18,-0.04,8.75,-0.97,0.84,5.72,28.10,19.40
Global Axcess Corp.,2005.00,8.00,1.00,19.50,8.00,-0.72,2.75,5.08,31.60,6.05,1.53,3.18,-0.04,8.75,-0.97,0.84,5.72,28.10,19.40
Datawatch Corporation,2005.00,16.00,0.00,21.20,15.30,1.02,1.64,9.18,13.00,5.59,2.86,0.00,0.05,0.00,3.59,1.64,0.00,25.10,19.60
Janel Corporation (OTCPK:JANL),2005.00,16.00,0.00,77.20,7.89,0.45,0.96,6.55,6.83,3.41,1.01,0.00,0.01,0.00,3.14,1.92,0.00,7.58,19.70
"Roadhouse Grill, Inc.",2005.00,2.00,1.00,113.10,8.13,-11.00,0.34,3.37,27.10,24.60,1.21,30.80,-0.10,10.35,-21.23,0.14,8.55,10.80,19.90
Tamarack Valley Energy Ltd (TSX:TVE),2005.00,16.00,0.00,2.90,2.48,0.31,1.78,13.60,32.20,7.36,1.88,0.00,0.11,0.00,6.24,1.85,0.00,18.70,19.90
Fremont Michigan Insuracorp Inc.,2005.00,16.00,0.00,41.50,8.24,9.08,8.38,16.60,76.00,25.60,6.75,0.16,0.22,1.35,-9.00,0.65,0.20,12.20,20.10
"Leading Brands, Inc.",2005.00,16.00,0.00,35.30,10.30,-0.26,0.56,8.82,23.80,9.60,0.51,12.30,-0.01,6.92,-0.78,0.92,13.63,12.80,20.30
"Precision Auto Care, Inc.",2005.00,16.00,0.00,12.00,4.49,3.46,1.37,5.32,17.20,1.86,1.21,0.00,0.29,0.00,3.46,2.86,0.00,29.00,20.30
PESA Corporation,2005.00,16.00,0.00,19.20,9.46,0.10,1.49,10.00,18.00,4.65,-0.34,0.54,0.01,0.80,5.35,2.15,-2.38,,20.30
China Education Resources Inc. (TSXV:CHN),2005.00,16.00,0.00,6.02,2.50,-0.71,0.86,5.08,11.90,4.84,1.27,0.00,-0.12,0.00,0.24,1.05,0.00,11.60,20.40
Hudson Holding Corporation,2005.00,16.00,0.00,17.50,5.86,-0.38,0.31,5.28,6.97,1.98,0.08,0.00,-0.02,0.00,3.30,2.67,0.00,,20.80
"ITC DeltaCom, Inc.",2005.00,16.00,0.00,520.40,252.30,-50.80,64.60,142.50,456.80,97.70,28.40,3.95,-0.10,255.17,44.80,1.46,8.98,56.70,21.00
KSW Inc.,2005.00,16.00,0.00,53.40,5.59,2.71,2.00,21.20,22.70,13.20,2.33,0.00,0.05,0.00,8.00,1.61,0.00,2.24,21.10
