Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
"Optumrx Health Solutions, LLC",2005.00,16.00,0.00,694.50,67.30,23.00,38.80,147.00,286.00,84.40,28.30,0.00,0.03,0.00,62.60,1.74,0.00,516.50,1298.90
"Life Time, Inc.",2005.00,16.00,0.00,390.10,173.80,41.20,119.30,35.40,723.50,101.50,108.00,2.25,0.11,268.43,-66.10,0.35,2.49,882.80,1302.80
"Multi-Fineline Electronix, Inc.",2005.00,16.00,0.00,412.40,93.40,45.00,75.80,210.50,295.40,86.50,67.20,0.00,0.11,0.00,124.00,2.43,0.00,380.00,1305.60
"Resources Connection, Inc. (NasdaqGS:RGP)",2005.00,16.00,0.00,592.90,234.30,60.00,100.30,200.80,354.40,59.90,63.20,0.00,0.10,0.00,140.90,3.35,0.00,1207.20,1309.90
PETRONAS Energy Canada Ltd.,2005.00,16.00,0.00,236.20,193.50,91.70,183.20,43.80,989.20,63.40,163.90,0.71,0.39,129.34,-19.60,0.69,0.79,1106.30,1310.00
"Ferrellgas Partners, L.P. (OTCPK:FGPR.Q)",2005.00,16.00,1.00,1826.60,632.40,98.00,177.30,303.00,1549.90,245.00,120.00,5.38,0.05,953.87,58.00,1.24,7.95,1148.60,1311.00
"Ferrellgas Partners, L.P. (OTCPK:FGPR.Q)",2005.00,16.00,0.00,1826.60,632.40,98.00,177.30,303.00,1549.90,245.00,120.00,5.38,0.05,953.87,58.00,1.24,7.95,1148.60,1311.00
"GAMCO Investors, Inc. (NYSE:GBL)",2005.00,16.00,0.00,253.30,147.20,63.90,88.50,558.10,728.10,62.20,-31.00,0.00,0.25,0.00,495.90,8.97,0.00,1379.90,1317.30
Stillwater Mining Company,2005.00,16.00,0.00,507.50,92.10,-13.90,72.10,268.90,721.50,69.10,141.10,0.08,-0.03,5.48,199.80,3.89,0.04,956.00,1318.20
Corus Entertainment Inc. (TSX:CJR.B),2005.00,16.00,0.00,598.00,100.90,62.90,101.90,373.20,1685.60,154.00,94.00,2.48,0.11,252.71,219.20,2.42,2.69,951.60,1320.70
Centrus Energy Corp. (AMEX:LEU),2005.00,9.00,1.00,1559.30,229.50,22.30,116.70,1615.70,2080.80,753.00,188.90,1.54,0.01,179.72,862.70,2.15,0.95,992.50,1322.60
Centrus Energy Corp. (AMEX:LEU),2005.00,16.00,0.00,1559.30,229.50,22.30,116.70,1615.70,2080.80,753.00,188.90,1.54,0.01,179.72,862.70,2.15,0.95,992.50,1322.60
"OmniVision Technologies, Inc.",2005.00,16.00,0.00,463.10,168.80,84.30,108.60,468.80,558.10,133.40,81.40,0.00,0.18,0.00,335.40,3.51,0.00,919.10,1324.00
Valassis Communications Inc.,2005.00,16.00,0.00,1131.00,294.70,95.40,174.30,450.90,697.70,323.50,116.20,0.79,0.08,137.70,127.40,1.39,1.19,1740.60,1327.60
"Westwood One, Inc.",2005.00,16.00,0.00,557.80,178.80,77.90,155.10,172.20,1239.60,100.20,118.30,2.63,0.14,407.91,72.00,1.72,3.45,2318.70,1328.70
MicroStrategy Incorporated (NasdaqGS:MSTR),2005.00,16.00,0.00,268.70,232.20,64.70,99.60,173.40,277.80,92.70,102.60,0.00,0.24,0.00,80.70,1.87,0.00,1180.30,1331.40
Tupperware Brands Corporation (NYSE:TUP),2005.00,16.00,0.00,1279.30,820.70,85.40,167.50,666.60,1734.10,448.60,140.20,3.40,0.07,569.50,218.00,1.49,4.06,1177.70,1332.40
"Magellan Health, Inc. (NasdaqGS:MGLN)",2005.00,16.00,0.00,1808.00,225.80,130.60,225.80,540.80,1069.50,311.90,188.00,0.00,0.07,0.00,228.90,1.73,0.00,1313.70,1333.50
"Immucor, Inc.",2005.00,16.00,0.00,166.50,105.80,30.80,57.80,97.60,162.00,28.10,55.60,0.00,0.18,0.00,69.50,3.47,0.00,1380.20,1335.10
"United Natural Foods, Inc. (NYSE:UNFI)",2005.00,16.00,0.00,2254.00,433.90,40.80,89.50,476.60,724.60,332.20,26.70,2.26,0.02,202.27,144.40,1.43,7.58,1268.50,1339.60
"IDACORP, Inc. (NYSE:IDA)",2005.00,16.00,0.00,842.90,278.00,63.70,278.80,297.50,3364.10,293.60,161.50,3.76,0.08,1048.29,3.90,1.01,6.49,1262.90,1339.90
Sherritt International Corporation (TSX:S),2005.00,16.00,0.00,875.50,457.40,106.60,391.40,798.70,2394.00,253.60,255.00,0.54,0.12,210.96,545.10,3.15,0.83,1028.00,1351.10
"TOUSA, Inc.",2005.00,3.00,1.00,2408.00,606.20,218.30,309.80,1886.30,2422.70,369.00,-174.40,2.86,0.09,886.03,1517.30,5.11,-5.08,1218.70,1351.50
"Comstock Resources, Inc.",2005.00,16.00,0.00,303.30,252.40,60.50,216.10,52.80,1016.70,68.10,218.00,1.12,0.20,242.03,-15.30,0.78,1.11,815.90,1352.00
"P.F. Chang's China Bistro, Inc.",2005.00,16.00,0.00,809.20,153.20,37.80,102.90,103.90,474.90,81.60,108.50,0.00,0.05,0.00,22.30,1.27,0.00,1436.40,1352.00
Deluxe Corporation (NYSE:DLX),2005.00,16.00,0.00,1716.30,1107.90,157.50,412.60,213.90,1425.90,491.10,174.10,2.81,0.09,1159.41,-277.20,0.44,6.66,1923.80,1357.70
Toromont Industries Ltd. (TSX:TIH),2005.00,16.00,0.00,1372.50,299.50,67.70,157.70,681.30,981.40,328.70,20.30,1.11,0.05,175.05,352.60,2.07,8.62,1134.70,1358.00
The Wendy's Company (NasdaqGS:WEN),2005.00,16.00,0.00,727.30,241.10,-55.20,36.00,1655.30,2809.50,1358.90,-586.50,28.60,-0.08,1029.60,296.40,1.22,-1.76,999.20,1362.90
"Wolverine World Wide, Inc. (NYSE:WWW)",2005.00,16.00,0.00,1061.00,405.20,74.50,133.40,420.70,626.60,104.00,117.30,0.00,0.07,0.00,316.70,4.05,0.00,1201.80,1367.60
"Nu Skin Enterprises, Inc. (NYSE:NUS)",2005.00,16.00,0.00,1180.90,974.80,74.00,153.60,308.20,678.90,159.10,114.10,0.00,0.06,0.00,149.10,1.94,0.00,1629.00,1367.90
"Nuance Communications, Inc. (NasdaqGS:NUAN)",2005.00,16.00,0.00,247.40,184.80,-13.50,20.60,156.90,735.90,133.30,9.51,0.00,-0.05,0.00,23.60,1.18,0.00,447.30,1368.10
IAMGOLD Corporation (TSX:IMG),2005.00,16.00,0.00,129.80,51.70,20.50,33.20,143.30,469.00,28.80,38.30,0.00,0.16,0.00,114.50,4.98,0.00,963.80,1368.10
Chemed Corporation (NYSE:CHE),2005.00,16.00,0.00,916.00,271.50,35.80,109.90,204.60,839.10,169.20,80.00,1.62,0.04,178.04,35.40,1.21,2.23,893.00,1369.00
Haemonetics Corporation (NYSE:HAE),2005.00,16.00,0.00,409.30,215.40,61.30,94.30,402.10,523.10,86.10,82.20,0.00,0.15,0.00,316.00,4.67,0.00,987.60,1376.70
"TETRA Technologies, Inc. (NYSE:TTI)",2005.00,16.00,0.00,509.20,167.20,38.10,97.90,251.70,726.90,134.90,45.10,1.59,0.07,155.66,116.80,1.87,3.45,624.70,1376.90
"Qorvo, Inc. (NasdaqGS:QRVO)",2005.00,16.00,0.00,694.80,237.80,-45.10,66.20,366.60,891.90,87.20,29.50,1.28,-0.06,84.74,279.40,4.20,2.87,1024.90,1377.70
Cognex Corporation (NasdaqGS:CGNX),2005.00,16.00,0.00,216.90,154.00,35.70,52.70,326.70,564.60,58.00,42.80,0.00,0.16,0.00,268.70,5.63,0.00,1203.10,1380.20
"Alliance Resource Partners, L.P. (NasdaqGS:ARLP)",2005.00,16.00,0.00,838.70,263.00,147.60,231.50,207.30,532.70,131.20,193.60,0.35,0.18,80.79,76.10,1.58,0.42,1271.70,1384.20
Entercom Communications Corp. (NYSE:ETM),2005.00,16.00,0.00,431.80,184.20,78.40,164.70,108.90,1697.80,35.00,136.60,3.41,0.18,561.63,73.90,3.11,4.11,1801.50,1386.70
Washington Real Estate Investment Trust (NYSE:WRE),2005.00,16.00,0.00,180.30,128.20,77.60,115.90,44.00,1139.20,56.00,87.70,6.10,0.43,706.99,-12.00,0.79,8.06,1265.30,1389.70
The Nature's Bounty Co.,2005.00,16.00,0.00,1772.20,842.50,71.20,198.90,653.60,1367.70,197.60,148.60,1.57,0.04,312.27,456.00,3.31,2.10,1838.80,1390.20
Calfrac Well Services Ltd. (TSX:CFW),2005.00,16.00,0.00,269.70,93.60,51.60,68.30,85.80,289.00,52.00,50.60,0.27,0.19,18.37,33.80,1.65,0.36,795.40,1391.90
"InterDigital, Inc. (NasdaqGS:IDCC)",2005.00,16.00,0.00,163.10,113.70,54.70,29.70,175.70,299.50,50.50,33.70,0.00,0.34,0.00,125.20,3.48,0.00,982.50,1392.60
RLI Corp. (NYSE:RLI),2005.00,16.00,0.00,569.30,182.10,107.10,143.30,797.70,2735.90,501.20,198.00,0.81,0.19,115.50,296.50,1.59,0.58,1097.90,1396.40
"Guitar Center, Inc.",2005.00,15.00,1.00,1782.50,521.00,76.70,164.40,530.20,780.20,243.10,65.70,0.83,0.04,136.29,287.10,2.18,2.07,1449.50,1396.50
"Guitar Center, Inc.",2005.00,16.00,0.00,1782.50,521.00,76.70,164.40,530.20,780.20,243.10,65.70,0.83,0.04,136.29,287.10,2.18,2.07,1449.50,1396.50
"ANSYS, Inc. (NasdaqGS:ANSS)",2005.00,16.00,0.00,158.00,137.60,43.90,62.90,244.40,305.50,76.50,67.80,0.00,0.28,0.00,167.90,3.19,0.00,1009.20,1401.30
"United Airlines, Inc.",2005.00,16.00,0.00,11208.00,2121.00,-68.00,389.00,3427.00,10529.00,3399.00,457.00,9.37,-0.01,3644.93,28.00,1.01,7.98,692.60,1402.00
"Ascena Retail Group, Inc. (OTCPK:ASNA.Q)",2005.00,15.00,1.00,1232.80,626.00,78.30,149.00,252.10,742.00,183.50,137.00,0.34,0.06,50.66,68.60,1.37,0.37,558.20,1404.30
"Ascena Retail Group, Inc. (OTCPK:ASNA.Q)",2005.00,16.00,0.00,1232.80,626.00,78.30,149.00,252.10,742.00,183.50,137.00,0.34,0.06,50.66,68.60,1.37,0.37,558.20,1404.30
Semtech Corporation (NasdaqGS:SMTC),2005.00,16.00,0.00,239.30,134.10,42.00,61.40,261.60,472.90,26.10,64.70,0.00,0.18,0.00,235.50,10.02,0.00,1361.30,1404.40
Atlantic Power Limited Partnership,2005.00,16.00,0.00,253.70,165.10,74.20,157.40,77.30,1129.30,62.90,125.90,2.20,0.29,346.28,14.40,1.23,2.75,1346.20,1406.60
Lancaster Colony Corporation (NasdaqGS:LANC),2005.00,16.00,0.00,1139.30,216.60,84.90,150.00,392.80,669.60,108.80,81.70,0.00,0.07,0.00,284.00,3.61,0.00,1485.10,1407.90
Silgan Holdings Inc. (NasdaqGS:SLGN),2005.00,16.00,0.00,2495.60,323.90,87.60,330.40,520.50,1530.60,320.20,209.10,2.06,0.04,680.62,200.30,1.63,3.26,1100.70,1408.60
"Sunstone Hotel Investors, Inc. (NYSE:SHO)",2005.00,16.00,0.00,541.70,239.70,30.20,144.40,124.10,2249.20,104.60,113.40,8.06,0.06,1163.86,19.50,1.19,10.26,655.30,1412.80
Jack in the Box Inc. (NasdaqGS:JACK),2005.00,16.00,0.00,2557.40,407.80,91.30,213.30,269.70,1316.10,262.30,190.80,1.12,0.04,238.90,7.40,1.03,1.25,1256.80,1416.80
Ethan Allen Interiors Inc. (NYSE:ETH),2005.00,16.00,0.00,1000.70,497.60,80.70,159.70,434.70,807.90,143.30,102.60,0.18,0.08,27.95,291.40,3.03,0.27,1266.60,1418.90
Novelis Inc.,2005.00,16.00,0.00,8363.00,793.00,90.00,400.00,2627.00,5476.00,1601.00,449.00,6.33,0.01,2532.00,1026.00,1.64,5.64,1658.00,1419.40
First Capital Real Estate Investment Trust (TSX:FCR.UN),2005.00,16.00,0.00,245.50,159.90,25.00,138.10,45.70,2118.50,64.40,81.20,9.25,0.10,1277.43,-18.70,0.71,15.73,812.20,1422.60
WestJet Airlines Ltd.,2005.00,16.00,0.00,1189.50,377.30,20.60,180.70,274.20,1898.70,323.40,212.20,4.29,0.02,775.20,-49.20,0.85,3.65,1432.00,1426.80
"Entegris, Inc. (NasdaqGS:ENTG)",2005.00,16.00,0.00,598.90,281.80,-12.40,86.80,513.00,1142.80,111.00,69.60,0.00,-0.02,0.00,402.00,4.62,0.00,655.90,1428.50
Kirby Corporation (NYSE:KEX),2005.00,16.00,0.00,795.70,280.50,68.80,179.50,186.30,1025.50,139.80,142.00,1.02,0.09,183.09,46.50,1.33,1.29,1092.50,1433.30
The Nassau Companies of New York,2005.00,16.00,0.00,2611.40,738.20,108.40,274.50,684.80,27716.20,9.80,443.90,1.64,0.04,450.18,675.00,69.88,1.01,1239.10,1435.10
AltaGas Ltd. (TSX:ALA),2005.00,16.00,0.00,1288.90,254.70,77.50,134.50,216.40,916.50,218.10,96.40,1.64,0.06,220.58,-1.70,0.99,2.29,973.50,1436.20
Xperi Holding Corporation (NasdaqGS:XPER),2005.00,16.00,0.00,94.70,81.40,31.40,55.20,134.40,190.10,10.20,51.80,0.00,0.33,0.00,124.20,13.18,0.00,1623.50,1449.40
Headwaters Incorporated,2005.00,16.00,0.00,1126.80,409.10,138.40,271.30,351.40,1680.00,221.90,139.70,2.30,0.12,623.99,129.50,1.58,4.47,1081.90,1450.80
FQM (Akubra) Inc.,2005.00,16.00,0.00,608.00,226.10,121.90,215.10,343.00,796.00,85.10,144.30,0.00,0.20,0.00,257.90,4.03,0.00,605.70,1455.00
"Rent-A-Center, Inc. (NasdaqGS:RCII)",2005.00,16.00,0.00,2339.10,350.90,135.70,326.60,118.80,1948.70,276.30,187.90,2.04,0.06,666.26,-157.50,0.43,3.55,1856.10,1455.00
MSA Safety Incorporated (NYSE:MSA),2005.00,16.00,0.00,907.90,349.00,81.80,150.00,377.20,725.40,130.90,86.00,0.07,0.09,9.90,246.30,2.88,0.12,1823.50,1458.90
Home Properties Inc.,2005.00,16.00,0.00,386.80,222.30,81.50,198.60,65.60,2977.90,50.30,136.50,9.29,0.21,1844.99,15.30,1.30,13.52,1353.40,1459.40
"Greif, Inc. (NYSE:GEF)",2005.00,16.00,0.00,2424.00,391.70,122.90,262.10,635.40,1915.50,359.30,172.50,1.58,0.05,414.12,276.10,1.77,2.40,1291.50,1462.50
"Rollins, Inc. (NYSE:ROL)",2005.00,16.00,0.00,802.40,365.30,52.80,105.50,136.50,438.40,189.70,76.80,0.00,0.07,0.00,-53.20,0.72,0.00,1132.60,1468.00
Cinram International Income Fund (OTCPK:CRWF.F),2005.00,16.00,0.00,2098.10,412.10,82.40,397.20,779.30,2013.90,632.50,257.30,1.64,0.04,651.41,146.80,1.23,2.53,925.40,1468.40
Transcontinental Inc. (TSX:TCL.A),2005.00,16.00,0.00,1963.90,529.30,120.40,322.80,320.70,1859.20,382.70,194.70,1.18,0.06,380.90,-62.00,0.84,1.96,1646.40,1471.20
Olin Corporation (NYSE:OLN),2005.00,16.00,0.00,955.00,234.70,133.30,142.30,873.40,1797.20,367.10,278.90,0.00,0.14,0.00,506.30,2.38,0.00,1572.30,1474.00
Charming Shoppes Inc.,2005.00,16.00,0.00,2755.70,1241.50,99.40,245.60,761.40,1572.60,417.20,164.80,0.16,0.04,39.54,344.20,1.83,0.24,987.00,1474.30
West Fraser Timber Co. Ltd. (TSX:WFG),2005.00,16.00,0.00,3068.50,1076.60,92.40,378.90,847.20,3117.40,529.40,25.50,1.66,0.03,628.97,317.80,1.60,24.67,1401.00,1476.70
"Great Elm Group, Inc. (NasdaqGS:GEG)",2005.00,16.00,0.00,414.40,281.90,-64.80,33.10,704.20,853.40,143.40,14.70,0.00,-0.16,0.00,560.80,4.91,0.00,903.60,1483.60
The Talbots Inc.,2005.00,16.00,0.00,1808.60,654.90,93.20,242.30,620.70,1146.10,244.50,211.40,0.00,0.05,0.00,376.20,2.54,0.00,1465.20,1483.70
"AirTran Holdings, LLC",2005.00,16.00,0.00,1449.70,299.90,7.55,44.80,459.80,1161.50,323.70,64.60,2.28,0.01,102.14,136.10,1.42,1.58,732.10,1487.60
EarthLink Holdings Corp.,2005.00,16.00,0.00,1290.10,680.50,142.80,213.70,444.50,749.10,211.80,188.70,0.00,0.11,0.00,232.70,2.10,0.00,1499.00,1491.80
"MPG Office Trust, Inc.",2005.00,16.00,0.00,473.20,308.30,-23.80,271.40,170.10,4069.20,132.20,104.80,12.20,-0.05,3311.08,37.90,1.29,31.59,1019.40,1492.80
Pennsylvania Real Estate Investment Trust (NYSE:PEI),2005.00,15.00,1.00,436.30,273.30,57.60,222.70,93.00,3018.50,177.20,130.20,8.02,0.13,1786.05,-84.20,0.52,13.72,1444.60,1493.10
Pennsylvania Real Estate Investment Trust (NYSE:PEI),2005.00,16.00,0.00,436.30,273.30,57.60,222.70,93.00,3018.50,177.20,130.20,8.02,0.13,1786.05,-84.20,0.52,13.72,1444.60,1493.10
United Therapeutics Corporation (NasdaqGS:UTHR),2005.00,16.00,0.00,115.90,103.60,65.00,45.40,166.80,291.40,14.50,43.20,0.00,0.56,0.00,152.30,11.50,0.00,951.30,1494.80
"Atwood Oceanics, Inc.",2005.00,16.00,0.00,184.90,73.50,31.90,56.80,118.00,506.10,56.40,35.10,0.66,0.17,37.26,61.60,2.09,1.06,921.70,1496.00
"Netflix, Inc. (NasdaqGS:NFLX)",2005.00,16.00,0.00,682.20,216.40,42.00,21.20,243.70,364.70,137.60,157.50,0.00,0.06,0.00,106.10,1.77,0.00,606.40,1508.50
"B/E Aerospace, Inc.",2005.00,16.00,0.00,844.10,295.60,84.60,120.40,744.20,1426.50,170.80,12.60,2.68,0.10,322.67,573.40,4.36,25.61,606.60,1509.80
Norbord Inc. (TSX:OSB),2005.00,16.00,0.00,1462.00,1462.00,248.00,495.00,403.00,1328.00,225.00,314.00,0.58,0.17,285.12,178.00,1.79,0.91,1432.50,1511.00
Nordson Corporation (NasdaqGS:NDSN),2005.00,16.00,0.00,839.40,476.80,80.00,162.00,300.30,777.00,212.30,126.10,0.89,0.10,143.37,88.00,1.41,1.14,1370.60,1512.00
Westinghouse Air Brake Technologies Corporation (NYSE:WAB),2005.00,16.00,0.00,1034.00,259.60,55.80,126.90,482.90,836.40,236.60,84.30,0.07,0.05,8.63,246.30,2.04,0.10,857.60,1512.70
"Cedar Fair, L.P. (NYSE:FUN)",2005.00,16.00,0.00,568.70,267.50,160.90,193.10,40.60,1024.80,130.70,160.50,2.42,0.28,467.30,-90.10,0.31,2.91,1703.30,1514.20
"Ceradyne, Inc.",2005.00,16.00,0.00,368.30,131.10,46.80,96.80,255.20,430.20,42.90,21.10,0.22,0.13,21.59,212.30,5.95,1.02,823.90,1514.50
"Alpha Natural Resources, Inc.",2005.00,10.00,1.00,1626.70,233.30,21.20,149.00,318.90,1013.70,283.80,149.60,3.11,0.01,463.39,35.10,1.12,3.10,,1515.40
"Alpha Natural Resources, Inc.",2005.00,16.00,0.00,1626.70,233.30,21.20,149.00,318.90,1013.70,283.80,149.60,3.11,0.01,463.39,35.10,1.12,3.10,,1515.40
"Electronics for Imaging, Inc.",2005.00,16.00,0.00,467.10,288.50,-5.18,69.60,596.80,1088.40,137.70,62.90,0.00,-0.01,0.00,459.10,4.33,0.00,914.30,1518.10
"WGL Holdings, Inc.",2005.00,16.00,0.00,2442.90,212.70,104.70,306.10,962.40,3231.60,992.30,54.00,3.01,0.04,921.36,-29.90,0.97,17.06,1478.00,1520.40
"Big Lots, Inc. (NYSE:BIG)",2005.00,16.00,0.00,4429.90,1731.70,-10.10,144.20,993.80,1625.50,436.50,213.00,0.03,0.00,3.75,557.30,2.28,0.02,1270.90,1523.40
PVH Corp. (NYSE:PVH),2005.00,16.00,0.00,1908.80,891.10,111.70,243.40,669.70,1753.50,230.70,189.40,0.54,0.06,132.17,439.00,2.90,0.70,870.50,1529.50
Torstar Corporation (TSX:TS.B),2005.00,16.00,0.00,1335.70,1335.70,102.00,217.50,376.70,1339.80,194.30,106.50,1.16,0.08,252.30,182.40,1.94,2.37,1446.40,1529.80
"Tivity Health, Inc. (NasdaqGS:TVTY)",2005.00,16.00,0.00,331.90,108.80,31.80,76.40,133.30,286.70,48.20,71.40,0.00,0.10,0.00,85.10,2.77,0.00,1031.60,1531.20
"Benchmark Electronics, Inc. (NYSE:BHE)",2005.00,16.00,0.00,2257.20,161.60,80.60,125.40,1084.50,1298.40,438.10,-1.73,0.00,0.04,0.00,646.40,2.48,0.00,1321.00,1533.90
Emulex Corporation,2005.00,16.00,0.00,425.40,253.80,76.70,145.90,691.20,861.90,82.00,130.30,0.00,0.18,0.00,609.20,8.43,0.00,1354.30,1535.50
"Kronos Worldwide, Inc. (NYSE:KRO)",2005.00,16.00,0.00,1196.70,327.50,71.50,215.80,525.30,1298.90,202.60,97.80,1.82,0.06,392.76,322.70,2.59,4.02,2300.50,1537.00
Quebecor Inc. (TSX:QBR.A),2005.00,16.00,0.00,8758.20,1323.00,59.80,1316.80,1573.20,11728.60,1775.70,814.60,3.34,0.01,4398.11,-202.50,0.89,5.40,1489.60,1540.40
"Morningstar, Inc. (NasdaqGS:MORN)",2005.00,16.00,0.00,227.10,162.70,31.10,54.70,206.20,296.30,115.80,48.40,0.00,0.14,0.00,90.40,1.78,0.00,,1541.80
"Chipotle Mexican Grill, Inc. (NYSE:CMG)",2005.00,16.00,0.00,627.70,199.10,37.70,62.10,17.80,392.50,42.00,77.40,0.06,0.06,3.48,-24.20,0.42,0.04,,1544.10
"Nationwide Health Properties, LLC",2005.00,16.00,0.00,180.40,180.40,69.90,166.10,49.40,1867.20,55.70,152.90,6.15,0.39,1021.52,-6.30,0.89,6.68,1445.00,1545.10
Ritchie Bros. Auctioneers Incorporated (NYSE:RBA),2005.00,16.00,0.00,212.60,185.60,53.60,90.90,205.00,496.40,120.80,85.10,0.00,0.25,0.00,84.20,1.70,0.00,1083.60,1546.90
Astral Media Inc.,2005.00,16.00,0.00,483.40,152.50,83.60,152.50,237.20,1190.90,140.40,95.20,0.00,0.17,0.00,96.80,1.69,0.00,1467.10,1547.30
"Delphi Financial Group, Inc.",2005.00,16.00,0.00,1222.80,361.60,113.30,266.00,535.90,5276.20,1049.50,309.40,1.21,0.09,321.86,-513.60,0.51,1.04,1423.90,1552.40
Enerpac Tool Group Corp. (NYSE:EPAC),2005.00,16.00,0.00,1060.30,352.20,75.60,159.10,316.30,1004.00,199.00,127.70,2.63,0.07,418.43,117.30,1.59,3.28,1407.10,1552.90
ViroPharma Inc.,2005.00,16.00,0.00,132.40,114.40,113.70,93.70,274.80,435.50,108.20,71.50,0.00,0.86,0.00,166.60,2.54,0.00,81.00,1553.00
"Tootsie Roll Industries, Inc. (NYSE:TR)",2005.00,16.00,0.00,491.10,190.70,77.20,107.80,246.60,813.70,113.70,82.50,0.00,0.16,0.00,132.90,2.17,0.00,1795.10,1553.10
State Auto Financial Corporation (NasdaqGS:STFC),2005.00,16.00,0.00,1139.50,193.20,125.90,190.10,167.30,2274.90,432.90,226.90,0.47,0.11,89.92,-265.60,0.39,0.40,1058.70,1554.60
"GlassBridge Enterprises, Inc. (OTCPK:GLAE)",2005.00,16.00,0.00,1258.10,302.10,87.90,142.80,888.20,1146.20,245.10,87.70,0.00,0.07,0.00,643.10,3.62,0.00,1173.10,1554.80
"Sunrise Senior Living, LLC",2005.00,16.00,0.00,1509.30,260.20,83.10,95.60,326.90,1587.80,280.70,190.00,1.08,0.06,103.25,46.20,1.16,0.54,931.70,1555.20
"Gartner, Inc. (NYSE:IT)",2005.00,16.00,0.00,989.00,502.40,-2.44,98.40,462.10,1026.60,642.80,27.10,1.79,0.00,176.14,-180.70,0.72,6.50,1247.80,1562.10
Perpetual Energy Inc. (TSX:PMT),2005.00,16.00,0.00,303.70,237.10,53.10,192.80,49.60,703.90,192.90,203.60,1.04,0.17,200.51,-143.30,0.26,0.98,905.10,1564.90
"Trusted Media Brands, Inc.",2005.00,4.00,1.00,1319.10,793.70,-26.80,87.30,820.40,2173.10,895.30,88.60,6.38,-0.02,556.97,-74.90,0.92,6.29,1604.40,1565.60
"Rockwood Holdings, Inc.",2005.00,16.00,0.00,2584.70,822.60,95.80,484.70,1410.80,4816.50,854.30,257.60,5.45,0.04,2641.62,556.50,1.65,10.25,,1566.30
"Speedway Motorsports, LLC",2005.00,16.00,0.00,544.10,298.50,108.10,225.20,201.30,1514.40,160.70,134.50,1.38,0.20,310.78,40.60,1.25,2.31,1692.30,1568.10
"Websense, Inc.",2005.00,16.00,0.00,148.60,138.00,38.80,57.30,392.20,403.70,137.10,100.70,0.00,0.26,0.00,255.10,2.86,0.00,1253.60,1569.10
Quest Software Inc.,2005.00,16.00,0.00,472.00,428.60,32.50,99.70,330.30,989.90,226.40,101.90,0.00,0.07,0.00,103.90,1.46,0.00,1348.80,1571.90
American Medical Systems Holdings Inc.,2005.00,16.00,0.00,262.60,216.50,39.30,86.50,122.90,359.30,53.40,71.60,0.00,0.15,0.00,69.50,2.30,0.00,1323.90,1574.40
Cousins Properties Incorporated (NYSE:CUZ),2005.00,16.00,0.00,147.50,92.30,49.70,36.50,60.50,1188.30,55.80,57.10,12.50,0.34,456.25,4.70,1.08,7.99,1517.30,1578.20
Paramount Resources (TEC) Ltd.,2005.00,16.00,0.00,335.30,259.90,74.20,203.80,73.90,667.30,138.50,165.20,0.46,0.22,92.93,-64.60,0.53,0.56,,1581.10
Inter Pipeline Ltd. (TSX:IPL),2005.00,16.00,0.00,795.20,180.60,76.60,160.10,170.20,1786.60,126.80,147.40,4.31,0.10,690.03,43.40,1.34,4.68,1342.90,1582.50
"WellCare Health Plans, Inc.",2005.00,16.00,0.00,1865.30,360.00,47.40,100.50,612.10,896.30,358.50,81.40,0.00,0.03,0.00,253.60,1.71,0.00,1358.30,1586.00
"Oceaneering International, Inc. (NYSE:OII)",2005.00,16.00,0.00,998.50,185.40,62.70,179.80,394.20,989.60,222.70,93.90,0.82,0.06,147.80,171.50,1.77,1.57,977.10,1587.60
ProAssurance Corporation (NYSE:PRA),2005.00,16.00,0.00,648.00,117.80,113.50,141.80,1155.20,3909.40,347.60,323.60,0.94,0.18,132.72,807.60,3.32,0.41,1116.40,1590.90
Corporate Office Properties Trust (NYSE:OFC),2005.00,16.00,0.00,316.00,168.30,39.00,157.90,111.30,2129.80,58.40,95.90,8.47,0.12,1337.41,52.90,1.91,13.95,942.60,1603.00
Global Industries Ltd.,2005.00,16.00,0.00,688.60,116.80,34.80,103.00,456.40,844.70,224.30,-3.48,0.00,0.05,0.00,232.10,2.03,0.00,901.20,1604.20
DSW Inc.,2005.00,16.00,0.00,1144.10,316.00,37.20,89.80,378.10,507.70,139.60,109.30,0.00,0.03,0.00,238.50,2.71,0.00,,1606.00
Granite Real Estate Investment Trust (TSX:GRT.UN),2005.00,16.00,0.00,685.50,175.40,6.56,91.90,261.40,2871.60,266.70,40.90,5.33,0.01,489.83,-5.30,0.98,11.98,1428.80,1610.60
"Cymer, Inc.",2005.00,16.00,0.00,383.60,156.40,46.60,69.00,585.00,791.40,85.30,114.00,0.00,0.12,0.00,499.70,6.86,0.00,981.10,1612.20
Essendant Inc.,2005.00,16.00,0.00,4279.10,642.00,97.50,202.90,1085.90,1542.20,664.90,236.10,0.02,0.02,3.65,421.00,1.63,0.02,1435.10,1616.90
"Syniverse Holdings, Inc.",2005.00,16.00,0.00,341.80,212.60,9.80,126.60,115.40,771.40,59.60,110.60,2.52,0.03,319.03,55.80,1.94,2.88,,1617.60
